universityId,province,year,track,minScore,minRank,source
A702,山东,2025,综合,512,159360,real:sdzk/投档线
C631,山东,2025,综合,512,160063,real:sdzk/投档线
A462,山东,2025,综合,512,160199,real:sdzk/投档线
A351,山东,2025,综合,511,160805,real:sdzk/投档线
B832,山东,2025,综合,511,160884,real:sdzk/投档线
B059,山东,2025,综合,511,161129,real:sdzk/投档线
A098,山东,2025,综合,511,161191,real:sdzk/投档线
A377,山东,2025,综合,511,161222,real:sdzk/投档线
B647,山东,2025,综合,511,161739,real:sdzk/投档线
B406,山东,2025,综合,511,161796,real:sdzk/投档线
A012,山东,2025,综合,511,162184,real:sdzk/投档线
A507,山东,2025,综合,511,162324,real:sdzk/投档线
A406,山东,2025,综合,510,162500,real:sdzk/投档线
A343,山东,2025,综合,510,163285,real:sdzk/投档线
A220,山东,2025,综合,510,164657,real:sdzk/投档线
B055,山东,2025,综合,509,164881,real:sdzk/投档线
A125,山东,2025,综合,509,164963,real:sdzk/投档线
A404,山东,2025,综合,509,165240,real:sdzk/投档线
A320,山东,2025,综合,509,165241,real:sdzk/投档线
E098,山东,2025,综合,509,165810,real:sdzk/投档线
A656,山东,2025,综合,509,165887,real:sdzk/投档线
A340,山东,2025,综合,509,166207,real:sdzk/投档线
B072,山东,2025,综合,509,166736,real:sdzk/投档线
C214,山东,2025,综合,509,166748,real:sdzk/投档线
A147,山东,2025,综合,508,168574,real:sdzk/投档线
A695,山东,2025,综合,508,168953,real:sdzk/投档线
A219,山东,2025,综合,508,169197,real:sdzk/投档线
A653,山东,2025,综合,507,169520,real:sdzk/投档线
A341,山东,2025,综合,507,169734,real:sdzk/投档线
A176,山东,2025,综合,507,169857,real:sdzk/投档线
A622,山东,2025,综合,507,170699,real:sdzk/投档线
A071,山东,2025,综合,507,170731,real:sdzk/投档线
A152,山东,2025,综合,507,171073,real:sdzk/投档线
A424,山东,2025,综合,507,171158,real:sdzk/投档线
A270,山东,2025,综合,507,171222,real:sdzk/投档线
A100,山东,2025,综合,506,172227,real:sdzk/投档线
A595,山东,2025,综合,506,173181,real:sdzk/投档线
A354,山东,2025,综合,506,173518,real:sdzk/投档线
A364,山东,2025,综合,506,173763,real:sdzk/投档线
A169,山东,2025,综合,506,173874,real:sdzk/投档线
A719,山东,2025,综合,505,174534,real:sdzk/投档线
A330,山东,2025,综合,505,175508,real:sdzk/投档线
A114,山东,2025,综合,505,175655,real:sdzk/投档线
A700,山东,2025,综合,505,175707,real:sdzk/投档线
A009,山东,2025,综合,505,175742,real:sdzk/投档线
A408,山东,2025,综合,505,176045,real:sdzk/投档线
B065,山东,2025,综合,505,176051,real:sdzk/投档线
A037,山东,2025,综合,505,176148,real:sdzk/投档线
E100,山东,2025,综合,505,176537,real:sdzk/投档线
C034,山东,2025,综合,504,176598,real:sdzk/投档线
E560,山东,2025,综合,504,176919,real:sdzk/投档线
Y017,山东,2025,综合,504,176995,real:sdzk/投档线
A541,山东,2025,综合,504,177135,real:sdzk/投档线
A161,山东,2025,综合,504,177932,real:sdzk/投档线
D437,山东,2025,综合,504,178009,real:sdzk/投档线
A150,山东,2025,综合,504,178166,real:sdzk/投档线
B258,山东,2025,综合,503,178954,real:sdzk/投档线
D763,山东,2025,综合,503,180100,real:sdzk/投档线
A709,山东,2025,综合,503,180227,real:sdzk/投档线
A352,山东,2025,综合,503,180322,real:sdzk/投档线
A212,山东,2025,综合,503,180852,real:sdzk/投档线
B824,山东,2025,综合,503,181016,real:sdzk/投档线
A032,山东,2025,综合,503,181051,real:sdzk/投档线
A242,山东,2025,综合,503,181284,real:sdzk/投档线
E389,山东,2025,综合,502,181477,real:sdzk/投档线
B641,山东,2025,综合,502,182177,real:sdzk/投档线
E092,山东,2025,综合,502,182210,real:sdzk/投档线
C481,山东,2025,综合,501,184135,real:sdzk/投档线
A577,山东,2025,综合,501,184444,real:sdzk/投档线
A177,山东,2025,综合,501,184784,real:sdzk/投档线
A661,山东,2025,综合,501,184972,real:sdzk/投档线
C026,山东,2025,综合,501,185307,real:sdzk/投档线
A681,山东,2025,综合,501,185468,real:sdzk/投档线
A228,山东,2025,综合,501,186004,real:sdzk/投档线
A209,山东,2025,综合,500,186183,real:sdzk/投档线
A690,山东,2025,综合,500,186269,real:sdzk/投档线
E531,山东,2025,综合,500,186312,real:sdzk/投档线
A654,山东,2025,综合,500,186427,real:sdzk/投档线
A607,山东,2025,综合,500,186826,real:sdzk/投档线
B731,山东,2025,综合,500,187180,real:sdzk/投档线
A458,山东,2025,综合,500,187297,real:sdzk/投档线
A370,山东,2025,综合,500,187332,real:sdzk/投档线
A157,山东,2025,综合,500,187371,real:sdzk/投档线
A741,山东,2025,综合,500,187449,real:sdzk/投档线
A367,山东,2025,综合,500,187763,real:sdzk/投档线
A205,山东,2025,综合,500,188276,real:sdzk/投档线
A350,山东,2025,综合,499,188906,real:sdzk/投档线
A768,山东,2025,综合,499,189653,real:sdzk/投档线
A708,山东,2025,综合,499,190119,real:sdzk/投档线
A703,山东,2025,综合,499,190149,real:sdzk/投档线
A109,山东,2025,综合,499,190492,real:sdzk/投档线
A720,山东,2025,综合,499,190505,real:sdzk/投档线
E199,山东,2025,综合,499,190575,real:sdzk/投档线
A142,山东,2025,综合,499,190870,real:sdzk/投档线
D414,山东,2025,综合,498,191372,real:sdzk/投档线
A105,山东,2025,综合,498,191395,real:sdzk/投档线
Y000,山东,2025,综合,498,191748,real:sdzk/投档线
A094,山东,2025,综合,498,191872,real:sdzk/投档线
D658,山东,2025,综合,498,192145,real:sdzk/投档线
A636,山东,2025,综合,498,192415,real:sdzk/投档线
A731,山东,2025,综合,498,192471,real:sdzk/投档线
B420,山东,2025,综合,498,192692,real:sdzk/投档线
E432,山东,2025,综合,498,192800,real:sdzk/投档线
A407,山东,2025,综合,498,192857,real:sdzk/投档线
A347,山东,2025,综合,498,192924,real:sdzk/投档线
B062,山东,2025,综合,498,193140,real:sdzk/投档线
A333,山东,2025,综合,497,193544,real:sdzk/投档线
D990,山东,2025,综合,497,193782,real:sdzk/投档线
C105,山东,2025,综合,497,194258,real:sdzk/投档线
A472,山东,2025,综合,497,194712,real:sdzk/投档线
A092,山东,2025,综合,497,195155,real:sdzk/投档线
B847,山东,2025,综合,497,195166,real:sdzk/投档线
A139,山东,2025,综合,497,195273,real:sdzk/投档线
A441,山东,2025,综合,497,195327,real:sdzk/投档线
A573,山东,2025,综合,496,195824,real:sdzk/投档线
Y016,山东,2025,综合,496,195899,real:sdzk/投档线
A566,山东,2025,综合,496,195945,real:sdzk/投档线
D251,山东,2025,综合,496,196346,real:sdzk/投档线
D332,山东,2025,综合,496,197124,real:sdzk/投档线
B441,山东,2025,综合,496,197688,real:sdzk/投档线
A077,山东,2025,综合,496,197812,real:sdzk/投档线
A229,山东,2025,综合,495,199032,real:sdzk/投档线
A120,山东,2025,综合,495,199501,real:sdzk/投档线
D249,山东,2025,综合,495,199757,real:sdzk/投档线
A371,山东,2025,综合,495,199861,real:sdzk/投档线
D292,山东,2025,综合,495,199950,real:sdzk/投档线
A148,山东,2025,综合,495,200034,real:sdzk/投档线
A537,山东,2025,综合,495,200051,real:sdzk/投档线
A412,山东,2025,综合,495,200178,real:sdzk/投档线
A361,山东,2025,综合,495,200188,real:sdzk/投档线
A463,山东,2025,综合,495,200452,real:sdzk/投档线
A460,山东,2025,综合,494,201291,real:sdzk/投档线
D253,山东,2025,综合,494,201345,real:sdzk/投档线
D687,山东,2025,综合,494,201725,real:sdzk/投档线
D250,山东,2025,综合,494,201780,real:sdzk/投档线
A522,山东,2025,综合,494,202024,real:sdzk/投档线
A132,山东,2025,综合,494,202162,real:sdzk/投档线
A512,山东,2025,综合,494,202326,real:sdzk/投档线
A555,山东,2025,综合,494,202617,real:sdzk/投档线
A514,山东,2025,综合,494,202823,real:sdzk/投档线
A413,山东,2025,综合,494,202834,real:sdzk/投档线
D632,山东,2025,综合,494,202914,real:sdzk/投档线
A438,山东,2025,综合,493,203488,real:sdzk/投档线
B551,山东,2025,综合,493,203944,real:sdzk/投档线
D611,山东,2025,综合,493,203979,real:sdzk/投档线
A262,山东,2025,综合,493,204235,real:sdzk/投档线
Y005,山东,2025,综合,493,204668,real:sdzk/投档线
A823,山东,2025,综合,493,204852,real:sdzk/投档线
A360,山东,2025,综合,493,205003,real:sdzk/投档线
B532,山东,2025,综合,493,205171,real:sdzk/投档线
A792,山东,2025,综合,493,205302,real:sdzk/投档线
C747,山东,2025,综合,493,205483,real:sdzk/投档线
A833,山东,2025,综合,492,205632,real:sdzk/投档线
A727,山东,2025,综合,492,205798,real:sdzk/投档线
D660,山东,2025,综合,492,206025,real:sdzk/投档线
A363,山东,2025,综合,492,207335,real:sdzk/投档线
B688,山东,2025,综合,492,207686,real:sdzk/投档线
E139,山东,2025,综合,492,207760,real:sdzk/投档线
